Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-23,45.00308309219773,45.84134777623283,44.90561201100996,45.392974853515625,22564200,0.0,0
2020-12-24,45.42221450900018,45.89983172097175,45.168787472104036,45.88033676147461,11865600,0.0,0
2020-12-28,45.997302800174104,46.4359300931514,45.67564526417965,45.88033676147461,21269200,0.0,0
2020-12-29,46.02655145070841,49.38935233885061,45.31500209405565,48.14170455932617,84531400,0.0,0
2020-12-30,47.86877365917182,47.94674977178846,47.3326753357273,47.51787185668945,37385400,0.0,0
2020-12-31,47.51788053213419,48.92148428003973,47.48863994934981,48.56083679199219,28576800,0.0,0
2021-01-04,48.6290641022505,50.091152637944305,48.15145059616258,48.41462326049805,46102500,0.0,0
2021-01-05,48.20018611563074,49.545308608991235,48.08322007394652,49.330867767333984,24866600,0.0,0
2021-01-06,49.16516052776207,50.83194421788116,48.93122845361842,49.80847930908203,36809600,0.0,0
2021-01-07,50.18862850945109,51.35829638835095,50.00342824460793,50.870933532714844,32092300,0.0,0
2021-01-08,51.124365258686474,51.202341383543214,49.97418860035181,50.34458541870117,34625400,0.0,0
2021-01-11,49.993684286731394,50.91967448690257,49.95469436459535,50.23736572265625,32925000,0.0,0
2021-01-12,50.588261434419096,52.48897342890347,50.25685457312484,51.89439392089844,39883900,0.0,0
2021-01-13,57.99617746574292,58.727221719512784,55.46189220665405,55.51062774658203,124070700,0.0,0
2021-01-14,56.97272256138157,58.62000779032645,56.37813924089908,57.75250244140625,74680900,0.0,0
2021-01-15,57.362608504887554,58.14239207414081,56.04673023876904,56.12471008300781,50265400,0.0,0
2021-01-19,56.47560232655328,56.865494070443276,55.65683263901088,56.52434158325195,35647100,0.0,0
2021-01-20,56.76802424828597,57.72325495181718,56.6218139115249,57.18715286254883,28701300,0.0,0
2021-01-21,57.54780659860358,62.33370966832614,56.74853181681326,60.88136672973633,86519500,0.0,0
2021-01-22,57.36260268721509,58.113141879617864,55.21820924410231,55.22795486450195,85729300,0.0,0
2021-01-25,54.95503619736749,55.07200224065305,52.69367286300159,54.03879165649414,61968500,0.0,0
2021-01-26,53.882836215325966,54.7795858046359,53.46370386134689,53.814605712890625,31485900,0.0,0
